obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF19abfvnns,1.1691797,42.869902,ztfg,58672.43285880005,ZTF,4.34863293497249,None,20.623600298107544,0.24967299401760104,ab,20.472057164074098
ZTF19abfvnns,1.1691797,42.869902,ztfg,58672.43285880005,ZTF,4.348632934972491,,20.623600006103516,0.249672994017601,ab,20.808900833129883
ZTF19abfvnns,1.169089,42.8697846,ztfr,58672.4695255002,ZTF,4.342006914134779,None,20.770399411475445,0.2500540018081665,ab,20.61720067733985
ZTF19abfvnns,1.169089,42.8697846,ztfr,58672.4695255002,ZTF,4.342006914134779,,20.77039909362793,0.2500540018081665,ab,20.824600219726562
ZTF19abfvnns,1.1690773,42.869755,ztfg,58675.45398150012,ZTF,7.135724926741819,None,20.101801339118193,0.15215499699115753,ab,20.487971578734225
ZTF19abfvnns,1.1690773,42.869755,ztfg,58675.45398150012,ZTF,7.13572492674182,,20.1018009185791,0.15215499699115753,ab,20.808300018310547
ZTF19abfvnns,1.1691069,42.8698223,ztfg,58678.45496529993,ZTF,10.306089640636648,None,19.638599589637394,0.10534899681806563,ab,20.4239093677022
ZTF19abfvnns,1.1691069,42.8698223,ztfg,58678.45496529993,ZTF,10.306089640636646,,19.638599395751953,0.10534899681806564,ab,20.81599998474121
ZTF19abfvnns,1.1691023,42.8698051,ztfr,58678.47028939985,ZTF,9.179295158226742,None,19.842600046934322,0.11828099936246873,ab,20.502198372908687
ZTF19abfvnns,1.1691023,42.8698051,ztfr,58678.47028939985,ZTF,9.179295158226742,,19.842599868774414,0.1182809993624687,ab,20.79010009765625
ZTF19abfvnns,1.1691242,42.869936,ztfr,58681.41130790021,ZTF,8.037905842270714,None,19.463800657337302,0.1350769996643066,ab,19.979232932668218
ZTF19abfvnns,1.1691087,42.8697604,ztfr,58681.44673610013,ZTF,6.734333932186095,,19.53459930419922,0.16122399270534515,ab,19.94729995727539
ZTF19abfvnns,1.1691087,42.8697604,ztfr,58681.44673610013,ZTF,6.734333932186096,None,19.53459964662282,0.16122399270534513,ab,19.857911255128144
ZTF19abfvnns,1.1689861,42.8698024,ztfg,58681.468356499914,ZTF,5.360283652987685,None,19.536200040654926,0.20255200564861298,ab,19.611744460048598
ZTF19abfvnns,1.1689861,42.8698024,ztfg,58681.468356499914,ZTF,5.360283652987684,,19.53619956970215,0.202552005648613,ab,19.589099884033203
ZTF19abfvnns,1.1691557,42.8698145,ztfr,58682.413379599806,ZTF,9.310992322401875,None,19.27370117105874,0.11660800129175185,ab,19.94876608157047
ZTF19abfvnns,1.1691383,42.8698122,ztfr,58683.407604199834,ZTF,11.896783596492165,None,19.265100780572084,0.09126300364732741,ab,20.20624967424157
ZTF19abfvnns,1.1690853,42.8698132,ztfg,58684.42339120014,ZTF,6.083373504109638,None,19.095699590606998,0.1784760057926178,ab,19.308635784492406
ZTF19abfvnns,1.1690853,42.8698132,ztfg,58684.42339120014,ZTF,6.083373504109638,,19.095699310302734,0.1784760057926178,ab,19.867399215698242
ZTF19abfvnns,1.16912,42.8698,atlaso,58684.514884,ATLAS,6.168955708853008,None,18.943,0.176,ab,19.1
ZTF19abfvnns,1.16912,42.8698,atlaso,58684.517862,ATLAS,5.5678779731186125,None,19.255,0.195,ab,19.17
ZTF19abfvnns,1.1691471,42.869805,ztfr,58685.42803240009,ZTF,11.767202425934794,None,19.32309935904185,0.09226799756288528,ab,20.252357409432435
ZTF19abfvnns,1.1691423,42.869813,ztfr,58686.4073379999,ZTF,11.479796872452853,None,19.15410085477752,0.09457799792289734,ab,20.05651135286559
ZTF19abfvnns,1.1690904,42.8698432,ztfr,58688.40393520007,ZTF,12.142255327486577,None,19.005899900156944,0.08941800147294997,ab,19.969223291772842
ZTF19abfvnns,1.1690904,42.8698432,ztfr,58688.40393520007,ZTF,12.142255327486575,,19.00589942932129,0.08941800147294998,ab,20.351900100708008
ZTF19abfvnns,1.169154,42.8698206,ztfg,58688.44733799994,ZTF,11.709838029425846,,18.855100631713867,0.09272000193595888,ab,20.311500549316406
ZTF19abfvnns,1.169154,42.8698206,ztfg,58688.44733799994,ZTF,11.70983802942585,None,18.85510101450727,0.09272000193595885,ab,19.779053223540046
ZTF19abfvnns,1.16912,42.8698,atlaso,58688.530839,ATLAS,9.047801706317744,None,19.123,0.12000000000000002,ab,19.62
