obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF20aafmdzj,60.6516359,-16.1984439,ztfg,58863.126817100216,ZTF,17.158194868989487,,17.913999557495117,0.06327799707651138,ab,20.15399932861328
ZTF20aafmdzj,,,ztfr,58863.19089120021,ZTF,6.511753804189124,fp,18.084007026180675,0.16673483632929373,ab,17.8655
ZTF20aafmdzj,60.6515756,-16.1984364,ztfr,58863.19089120021,ZTF,4.881073559504427,,17.98349952697754,0.2224379926919937,ab,17.86549949645996
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58866.377486,ATLAS,11.428802155348729,None,18.528,0.095,ab,19.66
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58866.380738,ATLAS,10.749863413446825,None,18.674,0.101,ab,19.63
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58866.38631,ATLAS,12.479726491472752,None,18.518,0.087,ab,19.67
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58866.396086,ATLAS,10.967032371294236,None,18.545,0.099,ab,19.63
ZTF20aafmdzj,60.65168,-16.19851,atlaso,58867.384356,ATLAS,16.450548556941353,None,18.43,0.06600000000000002,ab,19.59
ZTF20aafmdzj,60.65168,-16.19851,atlaso,58867.388513,ATLAS,16.96462819934577,None,18.24,0.064,ab,19.52
ZTF20aafmdzj,60.65168,-16.19851,atlaso,58867.395433,ATLAS,14.672110875109858,None,18.423,0.07399999999999998,ab,19.46
ZTF20aafmdzj,60.65168,-16.19851,atlaso,58867.405285,ATLAS,10.439771199597399,None,18.456,0.104,ab,19.37
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58869.336019,ATLAS,18.402308555222533,None,18.205,0.05899999999999999,ab,19.85
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58869.336934,ATLAS,11.93116708525417,None,18.554,0.091,ab,19.79
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58869.339245,ATLAS,18.095603412635487,None,18.195,0.06000000000000001,ab,19.83
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58869.345715,ATLAS,16.96462819934577,None,18.233,0.064,ab,19.84
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58869.353069,ATLAS,15.9667088935019,None,18.336,0.068,ab,19.79
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58869.355814,ATLAS,18.402308555222533,None,18.258,0.059,ab,19.83
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58870.303964,ATLAS,18.09560341263549,None,18.168,0.06,ab,19.84
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58870.307642,ATLAS,19.740658268329625,None,18.114,0.055,ab,19.83
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58870.313181,ATLAS,20.48558876902131,None,18.122,0.053000000000000005,ab,19.82
ZTF20aafmdzj,60.65168,-16.19851,atlasc,58870.326384,ATLAS,18.09560341263549,None,18.156,0.06,ab,19.84
ZTF20aafmdzj,60.65168,-16.19851,atlaso,58871.325939,ATLAS,24.67582283541203,None,17.881,0.044,ab,19.65
ZTF20aafmdzj,60.65168,-16.19851,atlaso,58871.329159,ATLAS,24.67582283541203,None,17.942,0.044,ab,19.64
ZTF20aafmdzj,60.65168,-16.19851,atlaso,58871.339824,ATLAS,22.157881729757744,None,18.067,0.049,ab,19.64
ZTF20aafmdzj,60.65168,-16.19851,atlaso,58871.346735,ATLAS,22.15788172975774,None,17.995,0.049,ab,19.65
ZTF20aafmdzj,,,ztfr,58872.144861099776,ZTF,57.000844579870126,fp,17.896639311310775,0.01904772135852804,ab,20.2346
