obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58872.631117,ATLAS,6.4627155045126745,None,19.056,0.168,ab,19.46
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58872.635293,ATLAS,5.744636004011266,None,19.227,0.189,ab,19.21
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58872.641316,ATLAS,10.242794384510654,None,18.682,0.106,ab,19.43
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58872.6521,ATLAS,8.416559726807204,None,18.846,0.129,ab,19.49
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58872.656543,ATLAS,9.201154277611266,None,18.767,0.118,ab,19.46
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58872.658072,ATLAS,7.592560872434471,None,18.623,0.143,ab,19.5
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58872.661905,ATLAS,11.078940864878872,None,18.533,0.098,ab,19.39
ZTF20aaiftgi,212.5556268,-6.8224215,ztfr,58873.52141200006,ZTF,10.000793791348537,,18.784900665283203,0.10856500267982484,ab,20.178300857543945
ZTF20aaiftgi,212.5556822,-6.8224163,ztfg,58873.54554399988,ZTF,11.431328711015547,,18.784099578857422,0.09497900307178497,ab,20.338699340820312
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58874.555201,ATLAS,13.240685423879627,None,18.598,0.082,ab,19.73
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58874.56086,ATLAS,15.079669510529575,None,18.463,0.072,ab,19.69
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58874.567316,ATLAS,13.404150676026287,None,18.692,0.081,ab,19.72
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58874.576914,ATLAS,16.205017981464618,None,18.451,0.067,ab,19.73
ZTF20aaiftgi,212.5556353,-6.8224392,ztfg,58876.522187499795,ZTF,15.1035828837909,,18.445899963378906,0.07188600301742554,ab,20.380199432373047
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58876.54873,ATLAS,14.10047019166402,None,18.188,0.077,ab,19.42
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58876.551033,ATLAS,10.242794384510656,None,18.688,0.106,ab,19.5
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58876.551953,ATLAS,14.10047019166402,None,18.277,0.077,ab,19.47
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58876.554257,ATLAS,9.524001796123942,None,18.563,0.114,ab,19.52
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58876.558091,ATLAS,10.340344807220282,None,18.336,0.10499999999999998,ab,19.33
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58876.560857,ATLAS,10.967032371294236,None,18.577,0.099,ab,19.61
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58876.569793,ATLAS,8.685889638065035,None,18.627,0.125,ab,19.41
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58878.490666,ATLAS,10.967032371294236,None,18.198,0.099,ab,18.8
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58878.50928,ATLAS,12.337911417706016,None,18.39,0.088,ab,19.35
ZTF20aaiftgi,212.5555478,-6.8224564,ztfg,58879.481898100115,ZTF,9.305725512059245,,18.240699768066406,0.11667399853467941,ab,19.7096004486084
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58880.56267,ATLAS,7.48783589488365,None,18.036,0.145,ab,18.51
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58880.565703,ATLAS,9.279796621864353,None,18.027,0.117,ab,18.68
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58880.583784,ATLAS,13.571702559476616,None,18.142,0.08,ab,19.24
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58882.576545,ATLAS,15.735307315335207,None,18.237,0.069,ab,19.68
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58882.579869,ATLAS,19.38814651353802,None,18.132,0.056,ab,19.69
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58882.585887,ATLAS,22.619504265794358,None,18.0,0.048,ab,19.69
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58882.596057,ATLAS,18.402308555222533,None,18.223,0.059,ab,19.7
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58884.52311,ATLAS,15.292059221945486,None,17.993,0.071,ab,19.06
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58884.526758,ATLAS,13.91969493279653,None,18.055,0.078,ab,19.07
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58884.532864,ATLAS,14.476482730108394,None,18.037,0.075,ab,19.11
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58884.54282,ATLAS,15.292059221945486,None,18.188,0.071,ab,19.23
ZTF20aaiftgi,212.5555995,-6.8224613,ztfg,58885.459571800195,ZTF,9.619862665569446,,18.32110023498535,0.11286400258541107,ab,19.315500259399414
ZTF20aaiftgi,212.555612,-6.822426,ztfr,58885.52204860002,ZTF,14.226663019003722,,18.09830093383789,0.07631699740886688,ab,19.828699111938477
ZTF20aaiftgi,212.5555907,-6.8224597,ztfr,58888.48421300016,ZTF,9.167901265020799,,18.16510009765625,0.11842799931764603,ab,18.973400115966797
ZTF20aaiftgi,212.5557097,-6.822519,ztfg,58888.52348379977,ZTF,5.723528677922402,,18.271699905395508,0.1896969974040985,ab,18.611099243164062
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58888.595816,ATLAS,10.857362047581292,None,18.045,0.10000000000000002,ab,18.72
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58888.598731,ATLAS,8.6169540060169,None,18.201,0.126,ab,18.81
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58888.604063,ATLAS,9.441184389201124,None,18.096,0.115,ab,18.7
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58888.61396,ATLAS,11.193156750083809,None,17.995,0.09699999999999999,ab,18.78
ZTF20aaiftgi,212.5556306,-6.8224153,ztfr,58895.48082179995,ZTF,11.242181516368944,,18.37619972229004,0.0965770035982132,ab,19.67770004272461
ZTF20aaiftgi,212.555625,-6.8224589,ztfg,58895.54119209992,ZTF,7.86708385150594,,19.11240005493164,0.13800999522209167,ab,19.85140037536621
ZTF20aaiftgi,212.55564,-6.8224395,ztfr,58900.45965280011,ZTF,4.188926537361532,,18.390300750732422,0.2591919898986816,ab,18.377399444580078
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58900.543667,ATLAS,13.571702559476615,None,18.68,0.08,ab,19.69
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58900.547324,ATLAS,11.078940864878872,None,18.716,0.098,ab,19.66
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58900.554746,ATLAS,13.74349626276113,None,18.463,0.079,ab,19.56
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58900.565812,ATLAS,11.550385157001376,None,18.678,0.094,ab,19.64
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58902.562154,ATLAS,7.983354446750951,None,19.319,0.136,ab,19.66
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58902.565155,ATLAS,7.487835894883651,None,19.222,0.145,ab,19.63
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58902.570405,ATLAS,9.52400179612394,None,19.039,0.11400000000000002,ab,19.68
ZTF20aaiftgi,212.55563,-6.82244,atlasc,58902.580411,ATLAS,11.42880215534873,None,18.84,0.095,ab,19.65
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58904.541318,ATLAS,8.973026485604375,None,18.831,0.121,ab,19.46
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58904.54537,ATLAS,8.899477088181388,None,18.778,0.122,ab,19.5
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58904.547849,ATLAS,9.047801706317745,None,18.749,0.12,ab,19.46
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58904.551109,ATLAS,9.960882612459903,None,18.557,0.109,ab,19.54
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58904.55157,ATLAS,8.827123615919751,None,18.94,0.123,ab,19.52
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58904.557195,ATLAS,11.428802155348729,None,18.694,0.095,ab,19.47
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58904.561776,ATLAS,7.98335444675095,None,18.97,0.136,ab,19.43
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58904.569618,ATLAS,14.286002694185914,None,18.673,0.076,ab,19.62
ZTF20aaiftgi,212.5556275,-6.8224435,ztfr,58912.44216440013,ZTF,6.926209271786453,,19.206254959106445,0.1567576378583908,ab,20.019044876098633
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58912.612632,ATLAS,9.69407325676901,None,19.064,0.112,ab,19.83
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58912.615859,ATLAS,7.5398347552647875,None,18.73,0.144,ab,19.08
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58912.621396,ATLAS,11.078940864878872,None,18.863,0.098,ab,19.88
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58912.633054,ATLAS,8.102508990732309,None,18.979,0.134,ab,19.74
ZTF20aaiftgi,212.55563,-6.82244,atlaso,58956.435248,ATLAS,5.245102438445069,None,19.652,0.207,ab,19.57
