obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF20aajcdad,201.62354,36.00861,atlaso,58874.587591,ATLAS,5.29627416955185,None,19.662,0.205,ab,19.86
ZTF20aajcdad,201.62354,36.00861,atlaso,58874.591706,ATLAS,5.744636004011267,None,19.496,0.189,ab,19.8
ZTF20aajcdad,201.6235657,36.0086257,ztfg,58875.474919000175,ZTF,9.500832800781303,,19.109399795532227,0.11427800357341765,ab,20.549699783325195
ZTF20aajcdad,201.6235417,36.0086074,ztfr,58875.52761569992,ZTF,9.936269927847185,,18.896400451660156,0.10926999896764755,ab,20.42620086669922
ZTF20aajcdad,201.62354,36.00861,atlasc,58876.620231,ATLAS,11.674582846861608,None,18.905,0.09299999999999999,ab,19.78
ZTF20aajcdad,201.62354,36.00861,atlasc,58876.623631,ATLAS,10.967032371294236,None,18.882,0.099,ab,19.75
ZTF20aajcdad,201.62354,36.00861,atlasc,58876.629948,ATLAS,13.74349626276113,None,18.774,0.079,ab,19.7
ZTF20aajcdad,201.62354,36.00861,atlasc,58876.640703,ATLAS,16.450548556941353,None,18.606,0.066,ab,19.84
ZTF20aajcdad,201.62354,36.00861,atlaso,58878.526309,ATLAS,14.476482730108392,None,18.328,0.075,ab,19.6
ZTF20aajcdad,201.62354,36.00861,atlaso,58878.529595,ATLAS,20.106226014039432,None,18.167,0.054,ab,19.69
ZTF20aajcdad,201.62354,36.00861,atlaso,58878.535783,ATLAS,18.095603412635487,None,18.248,0.06,ab,19.72
ZTF20aajcdad,201.6235486,36.0086347,ztfr,58878.54576390004,ZTF,13.70982876666701,,18.113300323486328,0.07919400185346603,ab,19.953399658203125
ZTF20aajcdad,201.62354,36.00861,atlaso,58878.546747,ATLAS,15.079669510529575,None,18.325,0.072,ab,19.65
ZTF20aajcdad,201.62354,36.00861,atlasc,58879.615954,ATLAS,6.540579546735719,None,17.815,0.166,ab,17.97
ZTF20aajcdad,201.62354,36.00861,atlasc,58879.626401,ATLAS,10.857362047581292,None,17.925,0.1,ab,18.61
