obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF20aakodyh,198.1331283,4.86639,ztfr,58875.503055599984,ZTF,6.213438222901335,,19.7096004486084,0.1747400015592575,ab,20.21489906311035
ZTF20aakodyh,198.133113,4.8664289,ztfr,58878.54347220017,ZTF,6.934421290904456,,19.200300216674805,0.15657199919223785,ab,19.773500442504883
ZTF20aakodyh,198.13315,4.86655,atlasc,58878.557309,ATLAS,7.385960576585913,None,19.148,0.147,ab,19.56
ZTF20aakodyh,198.13315,4.86655,atlasc,58878.560667,ATLAS,7.700256771334252,None,19.294,0.141,ab,19.57
ZTF20aakodyh,198.13315,4.86655,atlasc,58878.56683,ATLAS,7.925081786555689,None,19.124,0.137,ab,19.5
ZTF20aakodyh,198.13315,4.86655,atlasc,58878.577674,ATLAS,7.539834755264787,None,19.374,0.144,ab,19.71
ZTF20aakodyh,198.13315,4.86655,atlasc,58882.578398,ATLAS,9.359794868604563,None,18.999,0.116,ab,19.73
ZTF20aakodyh,198.13315,4.86655,atlasc,58882.581722,ATLAS,10.439771199597397,None,18.97,0.104,ab,19.78
ZTF20aakodyh,198.13315,4.86655,atlasc,58882.587738,ATLAS,9.960882612459903,None,19.014,0.109,ab,19.73
ZTF20aakodyh,198.13315,4.86655,atlasc,58882.601848,ATLAS,14.100470191664018,None,18.926,0.077,ab,19.73
ZTF20aakodyh,198.1331722,4.8665229,ztfg,58883.480509299785,ZTF,7.532616340310027,,18.94860076904297,0.14413799345493317,ab,19.855300903320312
ZTF20aakodyh,198.1330858,4.866505,ztfr,58883.54133100016,ZTF,12.517133724602955,,18.8341007232666,0.08674000203609465,ab,19.974899291992188
ZTF20aakodyh,198.13315,4.86655,atlaso,58884.565547,ATLAS,10.541128201535237,None,18.938,0.103,ab,19.54
ZTF20aakodyh,198.13315,4.86655,atlaso,58884.569569,ATLAS,6.275931819411152,None,19.214,0.173,ab,19.46
ZTF20aakodyh,198.13315,4.86655,atlaso,58884.575564,ATLAS,11.801480486501408,None,19.064,0.092,ab,19.64
ZTF20aakodyh,198.13315,4.86655,atlaso,58884.591668,ATLAS,13.240685423879626,None,18.756,0.082,ab,19.77
ZTF20aakodyh,198.1330341,4.8665145,ztfr,58886.53876159992,ZTF,10.129648096588044,,18.833900451660156,0.10718400031328201,ab,19.975400924682617
ZTF20aakodyh,198.13315,4.86655,atlaso,58888.483975,ATLAS,7.646029610972742,None,18.228,0.142,ab,18.48
ZTF20aakodyh,198.13315,4.86655,atlaso,58888.498995,ATLAS,5.93298472545426,None,18.39,0.183,ab,18.44
ZTF20aakodyh,198.1330189,4.8665658,ztfg,58894.334710599855,ZTF,6.824623853640535,,19.57710075378418,0.1590909957885742,ab,20.054399490356445
ZTF20aakodyh,198.1330712,4.8665488,ztfr,58894.521620399784,ZTF,10.324415497988,,18.85099983215332,0.10516200214624405,ab,20.059799194335938
ZTF20aakodyh,198.1331419,4.8665208,ztfg,58898.43861109996,ZTF,5.350721030218957,,20.074100494384766,0.20291399955749512,ab,20.757200241088867
ZTF20aakodyh,198.1330865,4.8665429,ztfr,58898.476458299905,ZTF,10.634984574988197,,19.190900802612305,0.1020909994840622,ab,20.549999237060547
ZTF20aakodyh,198.13315,4.86655,atlaso,58900.657605,ATLAS,6.580219422776542,None,19.263,0.165,ab,19.31
ZTF20aakodyh,198.13315,4.86655,atlaso,58900.660754,ATLAS,5.9985425677244715,None,19.368,0.181,ab,19.21
ZTF20aakodyh,198.13315,4.86655,atlaso,58900.662598,ATLAS,7.592560872434471,None,18.967,0.143,ab,19.17
ZTF20aakodyh,198.133092,4.8665029,ztfr,58901.41799770016,ZTF,8.093389021495774,,19.434600830078125,0.13415099680423737,ab,20.429800033569336
ZTF20aakodyh,198.1330297,4.8664979,ztfr,58904.47704860009,ZTF,6.517610921673254,,19.521499633789062,0.16658499836921692,ab,20.088600158691406
ZTF20aakodyh,198.13315,4.86655,atlaso,58904.560122,ATLAS,5.868844350043943,None,19.371,0.185,ab,19.52
ZTF20aakodyh,198.13315,4.86655,atlaso,58904.578903,ATLAS,6.065565389710221,None,19.542,0.17899999999999996,ab,19.63
ZTF20aakodyh,198.1330793,4.8665589,ztfg,58908.35423609987,ZTF,3.310332783007952,,20.888900756835938,0.3279840052127838,ab,20.482900619506836
ZTF20aakodyh,198.1330813,4.8664877,ztfr,58908.455555600114,ZTF,7.184786618437387,,19.70039939880371,0.1511159986257553,ab,20.45359992980957
ZTF20aakodyh,198.1331542,4.8665512,ztfr,58911.45452550007,ZTF,5.217039014381048,,19.818586349487305,0.20811349153518677,ab,19.998498916625977
ZTF20aakodyh,198.13315,4.86655,atlaso,58912.527799,ATLAS,5.322236297833968,None,19.538,0.204,ab,19.54
ZTF20aakodyh,198.13315,4.86655,atlaso,58913.432593,ATLAS,6.2042068843321685,None,19.528,0.17499999999999996,ab,19.46
