obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF23aazodoj,66.4587,-9.15775,atlaso,60150.411018,ATLAS,5.2705641007676185,fp,19.24,0.206,ab,19.11
ZTF23aazodoj,66.4587,-9.15775,atlaso,60150.413745,ATLAS,3.491113198579194,fp,19.642,0.311,ab,19.06
ZTF23aazodoj,66.4587,-9.15775,atlaso,60150.42735,ATLAS,5.868844350043943,fp,19.151,0.185,ab,19.06
ZTF23aazodoj,66.4587,-9.15775,atlaso,60153.419262,ATLAS,7.143001347092957,fp,18.983,0.152,ab,19.21
ZTF23aazodoj,66.4587,-9.15775,atlaso,60153.42208,ATLAS,7.190305991775692,fp,18.722,0.151,ab,19.14
ZTF23aazodoj,66.4587,-9.15775,atlaso,60153.424829,ATLAS,6.239863245736375,fp,18.898,0.17400000000000002,ab,18.99
ZTF23aazodoj,66.4587,-9.15775,atlaso,60156.413424,ATLAS,5.483516185647118,fp,18.942,0.198,ab,18.78
ZTF23aazodoj,66.4587,-9.15775,atlaso,60156.422576,ATLAS,5.8688443500439424,fp,18.639,0.185,ab,18.71
ZTF23aazodoj,66.4587,-9.15775,atlaso,60156.429927,ATLAS,5.65487606644859,fp,18.544,0.192,ab,18.54
ZTF23aazodoj,66.4587,-9.15775,atlaso,60158.157893,ATLAS,3.595152995887846,fp,18.462,0.302,ab,18.13
ZTF23aazodoj,66.4587,-9.15775,atlaso,60161.158345,ATLAS,6.168955708853008,fp,18.486,0.176,ab,18.64
ZTF23aazodoj,66.4587,-9.15775,atlaso,60161.166499,ATLAS,6.0318678042118306,fp,18.427,0.18,ab,18.61
ZTF23aazodoj,66.4587,-9.15775,atlaso,60161.170673,ATLAS,5.806075961273419,fp,18.534,0.187,ab,18.68
ZTF23aazodoj,66.4587,-9.15775,atlasc,60169.380945,ATLAS,12.479726491472752,fp,18.71,0.087,ab,19.54
ZTF23aazodoj,66.4587,-9.15775,atlasc,60169.384139,ATLAS,11.428802155348729,fp,18.767,0.095,ab,19.55
ZTF23aazodoj,66.4587,-9.15775,atlasc,60169.39059,ATLAS,12.624839590210808,fp,18.592,0.086,ab,19.52
ZTF23aazodoj,66.4587,-9.15775,atlasc,60169.400762,ATLAS,12.624839590210808,fp,18.712,0.086,ab,19.5
ZTF23aazodoj,66.4587,-9.15775,atlaso,60170.112235,ATLAS,9.441184389201124,fp,18.623,0.115,ab,19.17
ZTF23aazodoj,66.4587,-9.15775,atlasc,60171.378619,ATLAS,10.147067334188126,fp,18.529,0.107,ab,18.93
ZTF23aazodoj,66.4587,-9.15775,atlasc,60171.38179,ATLAS,4.021245202807886,fp,18.737,0.27,ab,18.31
ZTF23aazodoj,66.4587,-9.15775,atlasc,60171.387683,ATLAS,9.69407325676901,fp,18.494,0.112,ab,18.85
ZTF23aazodoj,66.4587,-9.15775,atlasc,60171.397753,ATLAS,8.6169540060169,fp,18.518,0.126,ab,19.01
ZTF23aazodoj,66.4587,-9.15775,atlaso,60173.139433,ATLAS,6.959847466398265,fp,18.902,0.156,ab,19.19
ZTF23aazodoj,66.4587,-9.15775,atlaso,60173.142277,ATLAS,9.441184389201124,fp,18.72,0.115,ab,19.22
ZTF23aazodoj,66.4587,-9.15775,atlaso,60173.147834,ATLAS,8.288062631741445,fp,18.848,0.131,ab,19.3
ZTF23aazodoj,66.4587,-9.15775,atlaso,60173.157829,ATLAS,9.441184389201124,fp,18.741,0.115,ab,19.3
ZTF23aazodoj,,,ztfi,60179.449201399926,ZTF,17.302262562607158,fp,18.767394265524914,0.06275111135491446,ab,19.7632
ZTF23aazodoj,66.4586977,-9.1577525,ztfi,60179.449201399926,ZTF,10.663049117400476,None,18.75171852538849,0.10182230174541472,ab,19.57399703882475
ZTF23aazodoj,66.4586977,-9.1577525,ztfi,60179.449201399926,ZTF,10.66308032712095,None,18.751699448747114,0.10182200372219084,ab,19.5739811400243
ZTF23aazodoj,,,ztfr,60181.48358799983,ZTF,22.475723094802657,fp,18.864794187148252,0.04830706447923794,ab,20.1116
ZTF23aazodoj,66.4587074,-9.1578305,ztfr,60181.48358799983,ZTF,11.041534539059093,None,18.80069925790718,0.09833200275897978,ab,19.660847835335602
ZTF23aazodoj,66.4587074,-9.1578305,ztfr,60181.48358799983,ZTF,11.041482669289719,None,18.800670683305725,0.09833246469497679,ab,19.66081416026386
ZTF23aazodoj,66.4587,-9.15775,atlaso,60183.342575,ATLAS,5.775192578500688,fp,18.628,0.188,ab,18.94
ZTF23aazodoj,66.4587,-9.15775,atlaso,60183.345797,ATLAS,8.102508990732309,fp,18.554,0.134,ab,19.09
ZTF23aazodoj,66.4587,-9.15775,atlaso,60183.364838,ATLAS,8.102508990732307,fp,18.967,0.134,ab,19.26
ZTF23aazodoj,,,ztfg,60183.44945599977,ZTF,29.265209405600274,fp,18.74832701840526,0.037099895295823845,ab,20.2341
ZTF23aazodoj,66.4587223,-9.1577771,ztfg,60183.44945599977,ZTF,11.797761903954465,None,18.73909963225384,0.09202899783849715,ab,19.671173689477257
