obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF24abtmueg,17.73755,42.2014,atlaso,60491.548222,ATLAS,3.9481316536659246,fp,19.844,0.275,ab,19.28
ZTF24abtmueg,17.73755,42.2014,atlaso,60589.504117,ATLAS,3.300110044857536,fp,20.109,0.329,ab,19.52
ZTF24abtmueg,,,ztfg,60619.309178200085,ZTF,4.581075394614766,fp,20.937778880216598,0.237004657472884,ab,20.4162
ZTF24abtmueg,17.7375436,42.2015043,ztfg,60619.309178200085,ZTF,3.453787791619023,None,20.813400556942128,0.3143610060214996,ab,20.41171467118987
ZTF24abtmueg,,,ztfg,60621.180162000004,ZTF,3.04711280426971,fp,21.10151381639302,0.35631638029178364,ab,20.0027
ZTF24abtmueg,,,ztfr,60623.18113429984,ZTF,3.553207024476696,fp,21.265206430152475,0.3055651408091069,ab,20.4628
ZTF24abtmueg,,,ztfr,60623.18113429984,ZTF,3.55943132799368,alert_fp,21.260645267943275,0.30503080540399663,ab,20.891671803410446
ZTF24abtmueg,,,ztfg,60623.20009260019,ZTF,3.291233303747206,fp,21.224769305088145,0.32988734147833687,ab,20.4414
ZTF24abtmueg,,,ztfr,60625.32349540014,ZTF,3.323434113993873,fp,20.936915717657957,0.326691057357345,ab,19.9865
ZTF24abtmueg,,,ztfr,60625.32349540014,ZTF,3.513483664842109,alert_fp,20.89132867778837,0.3090198527525873,ab,20.508248513755063
ZTF24abtmueg,,,ztfi,60632.2630671002,ZTF,3.096895912533239,fp,20.80364902062625,0.35058853620624425,ab,19.7948
ZTF24abtmueg,,,ztfi,60632.2630671002,ZTF,3.2928274241508944,alert_fp,20.755296174836623,0.3297276367400587,ab,20.301793589240543
ZTF24abtmueg,,,ztfr,60634.28273149999,ZTF,3.587490263935024,fp,20.695045124561553,0.30264505960420746,ab,19.9254
ZTF24abtmueg,,,ztfr,60634.28273149999,ZTF,3.8613435502532103,alert_fp,20.626653511753894,0.2811809388695631,ab,20.346074609054295
ZTF24abtmueg,,,ztfi,60635.20490740007,ZTF,7.0004997322170714,alert_fp,20.05111788244094,0.15509409989139084,ab,20.416515479921436
ZTF24abtmueg,,,ztfi,60635.20490740007,ZTF,6.850307436502945,fp,20.06452586543289,0.15849452230021277,ab,19.9717
ZTF24abtmueg,17.73755,42.2014,atlasc,60635.348507,ATLAS,5.073533667094063,fp,20.057,0.214,ab,19.6
