obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF25aafdnuf,215.1934704,5.4923985,ztfr,60710.46714119986,ZTF,7.094972579259371,None,18.539745359783037,0.1530289500951767,ab,18.91969715226768
ZTF25aafdnuf,215.1934704,5.4923985,ztfr,60710.46714119986,ZTF,7.094970506645677,None,18.53970006392929,0.15302899479866025,ab,18.919651539243993
ZTF25aafdnuf,,,ztfg,60716.46267359983,ZTF,14.962219651763595,alert_fp,18.767728401923783,0.07256518284238353,ab,19.95779345628946
ZTF25aafdnuf,215.1934844,5.4923642,ztfg,60716.46267359983,ZTF,7.605325391438832,None,18.766600021157814,0.14275999367237088,ab,19.221969510163824
ZTF25aafdnuf,215.1934844,5.4923642,ztfg,60716.46267359983,ZTF,7.6053118962320525,None,18.766561854468286,0.14276024699211118,ab,19.221929416896952
ZTF25aafdnuf,,,ztfr,60716.4983333,ZTF,24.767932129925203,alert_fp,18.444564119800635,0.043836368698956386,ab,20.181863481294037
ZTF25aafdnuf,215.1934603,5.4923796,ztfr,60716.4983333,ZTF,14.37815513799758,None,18.419122832744392,0.07551290094852448,ab,19.565955735076578
ZTF25aafdnuf,215.1934603,5.4923796,ztfr,60716.4983333,ZTF,14.37813669570435,None,18.419100172291063,0.07551299780607224,ab,19.565931681991298
ZTF25aafdnuf,,,ztfr,60721.4926041998,ZTF,16.560657751876487,alert_fp,18.219314158381994,0.06556117643546523,ab,19.519583102507323
ZTF25aafdnuf,215.1934693,5.4924092,ztfr,60721.4926041998,ZTF,7.9852919769214274,None,18.170200754387487,0.13596700131893155,ab,18.678502744685957
ZTF25aafdnuf,215.1934693,5.4924092,ztfr,60721.4926041998,ZTF,7.98526747308457,None,18.17017030201724,0.135967418551445,ab,18.678468960597385
ZTF25aafdnuf,215.1934801,5.492441,ztfg,60724.450428199954,ZTF,10.61473261116358,None,18.533186474874903,0.10228578001260756,ab,19.35053411055867
ZTF25aafdnuf,,,ztfg,60724.450428199954,ZTF,17.54894098227952,alert_fp,18.571046972223268,0.06186904416935919,ab,19.93424924495059
ZTF25aafdnuf,215.1934801,5.492441,ztfg,60724.450428199954,ZTF,10.614709415637865,None,18.53319959217884,0.10228600353002548,ab,19.350544855287573
ZTF25aafdnuf,215.1934876,5.4923369,ztfg,60726.42070600018,ZTF,12.896567360104164,None,18.51820001915016,0.08418799936771393,ab,19.54696033542544
ZTF25aafdnuf,215.1934876,5.4923369,ztfg,60726.42070600018,ZTF,12.896619861839516,None,18.51816785092904,0.08418765664100647,ab,19.54693258721138
ZTF25aafdnuf,,,ztfg,60726.42070600018,ZTF,29.485557351197567,alert_fp,18.490930490177373,0.0368226447893152,ab,20.417528832961032
ZTF25aafdnuf,215.1934485,5.4923715,ztfr,60726.48521990003,ZTF,17.946456413121066,None,18.153826121818035,0.06049863994121551,ab,19.54134788223959
ZTF25aafdnuf,215.1934485,5.4923715,ztfr,60726.48521990003,ZTF,17.946349221124866,None,18.153799291529463,0.060499001294374466,ab,19.54131456696167
ZTF25aafdnuf,,,ztfr,60726.5167129999,ZTF,46.47549506315978,alert_fp,18.093068462785045,0.02336147690912434,ab,20.513703513523012
ZTF25aafdnuf,215.1934626,5.4923549,ztfr,60726.5167129999,ZTF,16.57233092133589,None,18.1095011647286,0.06551499664783478,ab,19.410535145980866
ZTF25aafdnuf,215.1934626,5.4923549,ztfr,60726.5167129999,ZTF,16.57228568962168,None,18.10948028709906,0.0655151754617691,ab,19.41051130499168
ZTF25aafdnuf,215.1935002,5.4922407,ztfg,60728.45516199991,ZTF,8.715773389245385,None,18.60650071166718,0.12457141280174253,ab,19.209840525907797
ZTF25aafdnuf,215.1935002,5.4922407,ztfg,60728.45516199991,ZTF,8.715802060175047,None,18.60650071166718,0.1245710030198097,ab,19.209844097480136
ZTF25aafdnuf,,,ztfg,60728.45516199991,ZTF,24.40044303753329,alert_fp,18.644849587374395,0.04449657750427016,ab,20.365918856214083
ZTF25aafdnuf,215.1934671,5.4923816,ztfr,60728.462580999825,ZTF,15.5611662408259,None,18.093847787200957,0.0697721615433693,ab,19.326528132187743
ZTF25aafdnuf,215.1934671,5.4923816,ztfr,60728.462580999825,ZTF,15.561202798098135,None,18.093800085997216,0.06977199763059616,ab,19.32648298166091
ZTF25aafdnuf,,,ztfr,60728.462580999825,ZTF,53.25470426901452,alert_fp,18.06734138236294,0.020387611191559078,ab,20.635811314843757
ZTF25aafdnuf,215.1935151,5.4923227,ztfg,60730.45790510019,ZTF,17.428945939903546,None,18.568500961713138,0.06229500100016594,ab,19.92425375795879
ZTF25aafdnuf,215.1935151,5.4923227,ztfg,60730.45790510019,ZTF,17.42881253103759,None,18.56847007589442,0.062295477837324136,ab,19.924214561402827
ZTF25aafdnuf,,,ztfg,60730.45790510019,ZTF,34.995352116968874,alert_fp,18.56542025683712,0.031025154458487858,ab,20.678021165158963
ZTF25aafdnuf,215.1934501,5.4923572,ztfr,60730.5385532002,ZTF,20.626863465774658,None,18.091299065402325,0.0526369996368885,ab,19.629957039295437
