obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF25aakbbof,115.122,13.87592,atlaso,60387.053023,ATLAS,4.051254495366154,fp,18.97,0.268,ab,18.46
ZTF25aakbbof,115.122,13.87592,atlaso,60572.628709,ATLAS,6.580219422776542,fp,18.412,0.165,ab,18.7
ZTF25aakbbof,115.122,13.87592,atlasc,60590.629815,ATLAS,3.809600718449577,fp,19.729,0.285,ab,19.42
ZTF25aakbbof,115.122,13.87592,atlaso,60630.541133,ATLAS,3.8915276156205354,fp,18.92,0.279,ab,18.37
ZTF25aakbbof,115.122,13.87592,atlasc,60640.513702,ATLAS,3.9196252879354847,fp,19.822,0.277,ab,19.54
ZTF25aakbbof,115.122,13.87592,atlaso,60651.473182,ATLAS,3.183977140053165,fp,20.019,0.341,ab,19.56
ZTF25aakbbof,115.122,13.87592,atlaso,60673.433812,ATLAS,3.414264794836885,fp,19.684,0.318,ab,19.52
ZTF25aakbbof,115.122,13.87592,atlaso,60673.437017,ATLAS,4.377968567573102,fp,19.618,0.248,ab,19.49
ZTF25aakbbof,115.122,13.87592,atlaso,60686.3862,ATLAS,3.891527615620535,fp,18.848,0.279,ab,18.57
ZTF25aakbbof,115.122,13.87592,atlaso,60735.410954,ATLAS,3.174667265374647,fp,19.935,0.342,ab,19.44
ZTF25aakbbof,,,ztfr,60755.25722219981,ZTF,4.147454539839929,alert_fp,20.2889268451139,0.2617837505700625,ab,20.085955920348862
ZTF25aakbbof,,,ztfg,60757.17032410018,ZTF,8.179289688001932,alert_fp,20.3997690645338,0.13274211406777517,ab,20.93413302864968
ZTF25aakbbof,115.1220026,13.8759171,ztfg,60757.17032410018,ZTF,5.222038482853943,None,20.380647924755504,0.2079142481088638,ab,20.427823083795897
ZTF25aakbbof,115.1220026,13.8759171,ztfg,60757.17032410018,ZTF,5.222044845318545,None,20.38060022465139,0.2079139947891235,ab,20.42777670653802
ZTF25aakbbof,115.122017,13.8758555,ztfr,60757.24486109987,ZTF,4.813129950403852,None,19.735901202234768,0.22557799518108365,ab,19.694545159935423
ZTF25aakbbof,,,ztfr,60757.24486109987,ZTF,10.826449804326586,alert_fp,19.72698270012858,0.10028552520737088,ab,20.565772855976363
ZTF25aakbbof,115.1220395,13.8758179,ztfg,60759.165138899814,ZTF,4.4946854501527875,None,20.030701014355245,0.24155999720096585,ab,19.91502426368671
ZTF25aakbbof,,,ztfg,60759.165138899814,ZTF,8.828785909060382,alert_fp,20.09859532708448,0.12297684143002179,ab,20.7159227803843
ZTF25aakbbof,115.1220007,13.8758692,ztfr,60759.20859949989,ZTF,9.33922985489055,None,19.35141606217753,0.11625543236732483,ab,20.029768712051453
ZTF25aakbbof,115.1220007,13.8758692,ztfr,60759.20859949989,ZTF,9.339264569919646,None,19.351400620913758,0.1162550002336502,ab,20.0297573065909
ZTF25aakbbof,,,ztfr,60759.20859949989,ZTF,17.8667046995159,alert_fp,19.334996043225413,0.06076868807192786,ab,20.717682181026948
ZTF25aakbbof,115.1220435,13.8758471,ztfr,60759.31126159988,ZTF,6.207444424593362,None,19.520855380808428,0.17490872740745544,ab,19.75571246995475
ZTF25aakbbof,,,ztfg,60761.17502309987,ZTF,13.296424794250207,alert_fp,20.0500318398088,0.08165625132762273,ab,21.111944032729003
ZTF25aakbbof,115.122026,13.8758178,ztfg,60761.17502309987,ZTF,8.49515839435518,None,20.022819809643575,0.12780646979808805,ab,20.59832350082829
ZTF25aakbbof,115.122026,13.8758178,ztfg,60761.17502309987,ZTF,8.495190089325762,None,20.022800704410123,0.12780599296092984,ab,20.59830844640958
ZTF25aakbbof,115.1220351,13.8758573,ztfr,60761.192847200204,ZTF,8.59158670415926,None,19.244203952712645,0.12637202441692352,ab,19.831962384985413
ZTF25aakbbof,115.1220351,13.8758573,ztfr,60761.192847200204,ZTF,8.591588730314164,None,19.244200085713125,0.1263719946146011,ab,19.831958774035158
ZTF25aakbbof,,,ztfr,60761.192847200204,ZTF,20.995694101897072,alert_fp,19.238106127791394,0.0517123272747638,ab,20.796006708604025
ZTF25aakbbof,115.1219462,13.8757973,ztfr,60772.27947920002,ZTF,5.131437530608286,None,18.86020675859765,0.21158519387245175,ab,18.888379363341556
ZTF25aakbbof,115.1219462,13.8757973,ztfr,60772.27947920002,ZTF,5.131442228658292,None,18.860201408387635,0.21158500015735626,ab,18.88837500716891
ZTF25aakbbof,,,ztfr,60772.27947920002,ZTF,8.849001250477242,alert_fp,18.860115934952603,0.12269590364218488,ab,19.47992656529682
ZTF25aakbbof,115.122031,13.8758093,ztfr,60774.269745400175,ZTF,5.993177038371657,None,19.087843190871972,0.1811620444059372,ab,19.284560947380207
ZTF25aakbbof,,,sdssr,60777.30394869996,SEDM,8.109885139737791,SEDM_FPIPE_SDSS,19.429415840484918,0.133878123555426,ab,19.954527588005277
ZTF25aakbbof,,,sdssi,60777.306632900145,SEDM,8.054187559274261,SEDM_FPIPE_SDSS,19.38956953935297,0.13480393854348754,ab,19.907198875714734
