obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF25aavahfn,241.66537,-2.35699,atlaso,60814.548639,ATLAS,3.850128385667126,fp,19.498,0.282,ab,19.19
ZTF25aavahfn,241.66537,-2.35699,atlasc,60824.478279,ATLAS,3.4911131985791943,fp,19.909,0.311,ab,19.47
ZTF25aavahfn,,,ztfr,60838.29548610002,ZTF,5.802569528513032,alert_fp,19.59899135071929,0.1871130021661904,ab,19.760617222465886
ZTF25aavahfn,241.6653321,-2.356974,ztfr,60838.29548610002,ZTF,4.410281113603386,None,19.59680008952816,0.2461829930543899,ab,19.460540759951662
ZTF25aavahfn,241.66537,-2.35699,atlaso,60838.455198,ATLAS,5.049935836084322,fp,18.89,0.215,ab,18.74
ZTF25aavahfn,,,ztfg,60840.23148149997,ZTF,9.713112545251214,alert_fp,19.884055661903925,0.11178046169031068,ab,20.60502670333639
ZTF25aavahfn,241.6653653,-2.3569927,ztfg,60840.23148149997,ZTF,6.595963032472675,None,19.881435768841513,0.1646061688661575,ab,20.182206290366675
ZTF25aavahfn,241.6653653,-2.3569927,ztfg,60840.23148149997,ZTF,6.595969600657064,None,19.881399462724975,0.16460600495338437,ab,20.182171065413268
ZTF25aavahfn,,,ztfr,60840.30347219994,ZTF,13.500172630126496,alert_fp,19.303985355682947,0.08042387564254104,ab,20.382408649753007
ZTF25aavahfn,241.6653525,-2.3570102,ztfr,60840.30347219994,ZTF,8.133711907894368,None,19.380067984198877,0.13348594307899475,ab,19.908364937964876
ZTF25aavahfn,241.6653525,-2.3570102,ztfr,60840.30347219994,ZTF,8.133708276000393,None,19.38010046663736,0.13348600268363953,ab,19.908396935596457
ZTF25aavahfn,241.66537,-2.35699,atlaso,60840.411646,ATLAS,6.312419795105404,fp,18.991,0.172,ab,19.06
ZTF25aavahfn,241.66537,-2.35699,atlaso,60840.414869,ATLAS,4.561916826714829,fp,19.209,0.23800000000000002,ab,19.04
ZTF25aavahfn,241.66537,-2.35699,atlaso,60840.431002,ATLAS,4.782978875586473,fp,19.156,0.227,ab,19.03
ZTF25aavahfn,,,sdssg,60840.43703110004,SEDM,8.934206742027527,SEDM_FPIPE_SDSS,19.8662838409193,0.12152575333305222,ab,20.496498825190145
ZTF25aavahfn,,,sdssr,60840.43970669992,SEDM,21.26975982070435,SEDM_FPIPE_SDSS,19.29645511200792,0.05104600211335038,ab,20.868436565801083
ZTF25aavahfn,,,sdssi,60840.44238660019,SEDM,6.076687505771491,SEDM_FPIPE_SDSS,19.181413385550222,0.17867237762793026,ab,19.39315563292725
ZTF25aavahfn,241.66537,-2.35699,atlaso,60841.990467,ATLAS,4.051254495366154,fp,19.111,0.268,ab,18.91
ZTF25aavahfn,241.66537,-2.35699,atlaso,60842.003505,ATLAS,3.8776293027076045,fp,19.125,0.28,ab,18.86
ZTF25aavahfn,241.66537,-2.35699,atlaso,60842.017354,ATLAS,3.731052250027936,fp,18.915,0.291,ab,18.76
ZTF25aavahfn,241.66537,-2.35699,atlaso,60842.017805,ATLAS,3.731052250027936,fp,19.177,0.291,ab,18.75
ZTF25aavahfn,241.6653109,-2.356988,ztfg,60842.271794000175,ZTF,7.789655715233634,None,19.6206172063446,0.13938179612159726,ab,20.101987853717276
ZTF25aavahfn,241.6653109,-2.356988,ztfg,60842.271794000175,ZTF,7.789644056276515,None,19.62060015479977,0.13938200473785398,ab,20.101969177124847
ZTF25aavahfn,,,ztfg,60842.271794000175,ZTF,12.879341182590759,alert_fp,19.608048079979564,0.08430060120045106,ab,20.63535718941576
ZTF25aavahfn,241.6653462,-2.3570343,ztfr,60842.32778939977,ZTF,8.783849476723178,None,19.027908559207937,0.12360596656799316,ab,19.639695760717224
ZTF25aavahfn,241.6653462,-2.3570343,ztfr,60842.32778939977,ZTF,8.783847358871927,None,19.027901103887523,0.12360599637031557,ab,19.639688043617728
ZTF25aavahfn,,,ztfr,60842.32778939977,ZTF,17.84367183117503,alert_fp,19.013520708487984,0.060847129168852924,ab,20.394806266124622
ZTF25aavahfn,241.66537,-2.35699,atlaso,60843.221271,ATLAS,3.5951529958878456,fp,19.118,0.302,ab,18.75
ZTF25aavahfn,241.66537,-2.35699,atlaso,60843.224456,ATLAS,5.097353073981829,fp,18.941,0.213,ab,18.76
ZTF25aavahfn,241.66537,-2.35699,atlaso,60843.229948,ATLAS,4.097117753804262,fp,19.061,0.265,ab,18.75
ZTF25aavahfn,241.66537,-2.35699,atlaso,60843.245039,ATLAS,3.823014805486371,fp,19.027,0.284,ab,18.6
ZTF25aavahfn,241.66537,-2.35699,atlaso,60844.402026,ATLAS,8.549103974473459,fp,18.902,0.127,ab,19.53
