obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF19aailsge,202.4860524,38.4054875,ztfr,58522.53819439979,ZTF,11.771667180156406,,18.90570068359375,0.0922330021858215,ab,20.658300399780277
ZTF19aailsge,202.4860607,38.4054157,ztfg,58526.45247690007,ZTF,6.610869986581784,,19.185199737548828,0.1642349958419799,ab,20.35610008239746
ZTF19aailsge,202.4860482,38.4054261,ztfr,58526.52125000022,ZTF,12.664747837540425,,18.728900909423828,0.0857290029525756,ab,20.162500381469727
ZTF19aailsge,202.4860649,38.405338,ztfr,58534.42158559989,ZTF,8.493262078931851,,18.53619956970215,0.1278350055217743,ab,19.08530044555664
ZTF19aailsge,202.4860901,38.4054392,ztfr,58543.37173609994,ZTF,7.622143422408979,,19.014799118041992,0.1424449980258941,ab,19.831199645996094
ZTF19aailsge,202.4862456,38.4056013,ztfg,58547.33966440009,ZTF,3.9019185734847017,,20.4419002532959,0.2782570123672485,ab,20.767200469970703
ZTF19aailsge,202.4860989,38.4055064,ztfr,58567.37269680016,ZTF,7.112305952585955,,19.69389915466309,0.152656003832817,ab,20.166099548339844
ZTF19aailsge,202.4860401,38.4054741,ztfr,58572.31077549979,ZTF,6.431172054637955,,19.87179946899414,0.1688240021467209,ab,20.06679916381836
ZTF19aailsge,202.4861663,38.4054236,ztfg,58575.33182869991,ZTF,4.699709132844647,,20.831499099731445,0.2310220003128051,ab,21.015399932861328
ZTF19aailsge,202.4859342,38.4055334,ztfr,58580.32370370021,ZTF,8.577877366147124,,19.86230087280273,0.1265739947557449,ab,20.385499954223636
ZTF19aailsge,202.4860777,38.405527,ztfr,58584.3271296001,ZTF,5.635679570115214,,20.082599639892575,0.1926539987325668,ab,20.443300247192383
ZTF19aailsge,202.4860728,38.4054902,ztfr,58587.304837999865,ZTF,4.725235287620381,,19.94930076599121,0.229773998260498,ab,20.092199325561523
ZTF19aailsge,202.4860311,38.4054713,ztfg,58597.28365739994,ZTF,3.7733368506245086,,20.951099395751957,0.2877390086650848,ab,20.766599655151367
ZTF19aailsge,202.4861271,38.4054824,ztfr,58612.23349539982,ZTF,5.290983354311323,,20.47769927978516,0.2052049934864044,ab,20.94029998779297
ZTF19aailsge,202.486046,38.4055277,ztfr,58628.29010420013,ZTF,4.538746308190974,,20.543500900268555,0.23921500146389,ab,20.70059967041016
ZTF19aailsge,202.4860493,38.4054351,ztfr,58632.26902779983,ZTF,4.1806196549903,,20.76189994812012,0.2597070038318634,ab,20.6033992767334
ZTF19aailsge,202.4861635,38.4054079,ztfr,58641.28061340004,ZTF,5.271085696449328,,20.667211532592773,0.2059796154499054,ab,20.885374069213867
