obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF20acjbzrh,31.2118487,-17.7612163,ztfr,59136.33349539992,ZTF,6.727990583816212,,19.74250030517578,0.1613759994506836,ab,20.52589988708496
ZTF20acjbzrh,31.2118783,-17.761213,ztfr,59138.31637729984,ZTF,8.122451390995701,,19.47130012512207,0.1336710005998611,ab,20.215200424194336
ZTF20acjbzrh,31.2118588,-17.7611409,ztfg,59138.35901620006,ZTF,5.661185750077596,,19.743900299072266,0.1917860060930252,ab,20.24519920349121
ZTF20acjbzrh,31.2118821,-17.7612043,ztfr,59140.2652431,ZTF,9.267677639333511,,19.39590072631836,0.1171529963612556,ab,20.300800323486328
ZTF20acjbzrh,31.2118699,-17.7611755,ztfg,59140.30392359989,ZTF,4.919199465144327,,20.025999069213867,0.2207140028476715,ab,20.622900009155277
ZTF20acjbzrh,31.2119282,-17.7611958,ztfr,59149.33748839982,ZTF,7.51343299870767,,19.01749992370605,0.1445060074329376,ab,19.2942008972168
ZTF20acjbzrh,31.2118478,-17.7612656,ztfr,59150.36371529987,ZTF,8.771783201074664,,18.73963928222656,0.1237759962677955,ab,19.201997756958008
ZTF20acjbzrh,31.2118603,-17.7612616,ztfr,59151.33614580007,ZTF,7.963153853273365,,18.766700744628903,0.1363449990749359,ab,19.170799255371094
ZTF20acjbzrh,31.2119219,-17.761167,ztfr,59153.330694399774,ZTF,7.333384727480938,,18.92039680480957,0.1480538994073867,ab,19.09710693359375
ZTF20acjbzrh,31.2119223,-17.7611791,ztfg,59155.2122105998,ZTF,4.83172174125809,,19.42140007019043,0.224710002541542,ab,19.13870048522949
ZTF20acjbzrh,31.2118832,-17.7612508,ztfr,59155.27357639978,ZTF,8.862582223875167,,18.946409225463867,0.1225078850984573,ab,19.553895950317383
ZTF20acjbzrh,31.2119184,-17.7611365,ztfr,59158.336631900165,ZTF,6.150608835583817,,19.061756134033203,0.1765249967575073,ab,19.415433883666992
ZTF20acjbzrh,,,sdssr,59164.40310000023,Sinistro,12.089558685920592,LCO_FPIPE_PS1,19.433484237741688,0.0898077616367063,ab,20.392085346347287
ZTF20acjbzrh,,,sdssg,59164.40420000022,Sinistro,8.891198095557638,LCO_FPIPE_PS1,20.19484239046093,0.1221135996621875,ab,20.819818095665852
ZTF20acjbzrh,31.2118957,-17.7612393,ztfr,59165.2308565001,ZTF,10.147080685296874,,19.29816246032715,0.106999859213829,ab,20.418540954589844
ZTF20acjbzrh,31.2118079,-17.7611874,ztfr,59167.23957179999,ZTF,7.392405049285167,,19.412830352783203,0.1468718498945236,ab,19.992454528808597
ZTF20acjbzrh,31.2118571,-17.7612394,ztfr,59168.27549770009,ZTF,6.965890337297595,,19.418455123901367,0.1558646708726883,ab,20.16803359985352
ZTF20acjbzrh,31.2118743,-17.7611567,ztfr,59170.289583299775,ZTF,5.412740471201849,,19.6963005065918,0.2005890011787414,ab,20.076099395751957
ZTF20acjbzrh,31.2118813,-17.7611216,ztfr,59176.28013890004,ZTF,6.934368494673584,,19.537384033203125,0.1565731912851333,ab,19.615833282470703
