obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF20actekrw,56.8255965,-8.4517423,ztfr,59176.29730319977,ZTF,7.308008271122076,,19.3927001953125,0.1485680043697357,ab,19.959800720214844
ZTF20actekrw,56.8255876,-8.4517703,ztfg,59176.37434029998,ZTF,7.113912812868243,,19.743328094482425,0.1526215225458145,ab,20.58063697814941
ZTF20actekrw,56.8255835,-8.4517621,ztfr,59178.31821760023,ZTF,7.302012263567402,,19.32719993591309,0.1486900001764297,ab,19.89229965209961
ZTF20actekrw,56.8256547,-8.4517079,ztfr,59182.37064810004,ZTF,9.486499887247811,,18.656810760498047,0.1144506633281707,ab,19.04326057434082
ZTF20actekrw,56.8254635,-8.4517363,ztfg,59184.22959489981,ZTF,5.333950259890358,,18.825199127197266,0.2035519927740097,ab,19.01490020751953
ZTF20actekrw,56.8255448,-8.4517325,ztfr,59184.30047449982,ZTF,12.287783085639385,,18.643699645996094,0.088358998298645,ab,19.31609916687012
ZTF20actekrw,56.8256162,-8.4517797,ztfr,59185.16584490007,ZTF,11.685354937980348,,18.487869262695312,0.092914268374443,ab,19.07817840576172
ZTF20actekrw,56.8255468,-8.4517072,ztfg,59185.18201390002,ZTF,5.83557786037846,,18.973377227783203,0.1860546171665191,ab,19.200105667114254
ZTF20actekrw,56.8255988,-8.4517555,ztfr,59185.376585599966,ZTF,12.270119757507562,,18.52213478088379,0.0884861946105957,ab,19.35218048095703
ZTF20actekrw,56.8256082,-8.4517612,ztfg,59185.40339120012,ZTF,5.26656781327689,,18.94487571716309,0.206156313419342,ab,19.00876808166504
ZTF20actekrw,56.8256154,-8.4517487,ztfg,59187.19365740009,ZTF,7.010719824254042,,18.93930053710937,0.1548680067062378,ab,19.47920036315918
ZTF20actekrw,56.8255495,-8.4517763,ztfr,59187.24569439981,ZTF,11.446519662948816,,18.59661293029785,0.0948529541492462,ab,19.425243377685547
ZTF20actekrw,56.8255253,-8.4518604,ztfg,59187.367361099925,ZTF,6.971256122599297,,18.85877799987793,0.1557447016239166,ab,19.12537956237793
ZTF20actekrw,56.825578,-8.451765,ztfr,59188.27936339984,ZTF,13.38498233568477,,18.413000106811523,0.081115998327732,ab,19.92200088500977
ZTF20actekrw,56.8255697,-8.4517743,ztfr,59188.32538190018,ZTF,16.689103557498328,,18.472332000732425,0.0650565922260284,ab,19.86582565307617
ZTF20actekrw,56.825707,-8.4518733,ztfg,59188.40475689992,ZTF,7.301227147378219,,18.93920516967773,0.1487059891223907,ab,19.25655746459961
ZTF20actekrw,56.8255805,-8.4517412,ztfr,59189.21929399995,ZTF,16.65703421671831,,18.44318389892578,0.0651818439364433,ab,20.23587417602539
ZTF20actekrw,56.8255711,-8.4517327,ztfr,59189.25633100001,ZTF,13.917296437218988,,18.45612525939941,0.0780134424567222,ab,20.213876724243164
ZTF20actekrw,56.8255632,-8.4517488,ztfr,59190.17440970009,ZTF,15.907198119188395,,18.37062644958496,0.0682543963193893,ab,20.029735565185547
ZTF20actekrw,56.8255713,-8.4517507,ztfr,59190.19414350018,ZTF,19.55482334844207,,18.428123474121094,0.0555226802825927,ab,20.31713104248047
ZTF20actekrw,56.825601,-8.4517193,ztfr,59192.16266199993,ZTF,10.448860729295392,,18.457178115844727,0.1039095297455787,ab,19.408042907714844
ZTF20actekrw,56.8257382,-8.4518308,ztfg,59193.19025459979,ZTF,4.270953813220615,,19.00900077819824,0.2542139887809754,ab,19.122699737548828
ZTF20actekrw,56.8255994,-8.4517539,ztfr,59193.231331000105,ZTF,18.680649399284334,,18.351661682128903,0.0581209026277065,ab,20.121976852416992
ZTF20actekrw,56.8255777,-8.4517288,ztfr,59193.25629629986,ZTF,17.421395919309514,,18.4281005859375,0.0623219981789588,ab,20.389299392700195
ZTF20actekrw,56.8255723,-8.4517527,ztfr,59193.285115700215,ZTF,18.71456823331051,,18.40222930908203,0.0580155625939369,ab,20.2971134185791
ZTF20actekrw,56.8256037,-8.4517457,ztfg,59193.32004630007,ZTF,10.678309026095947,,18.99518394470215,0.1016767919063568,ab,20.458999633789062
ZTF20actekrw,56.825649,-8.4517636,ztfg,59194.21180560021,ZTF,6.0942632022453695,,19.12179946899414,0.178157091140747,ab,20.225231170654297
ZTF20actekrw,56.825671,-8.4517424,ztfg,59194.24268520018,ZTF,9.43180926153076,,19.11308860778809,0.1151143088936805,ab,20.2432804107666
ZTF20actekrw,56.825583,-8.4518112,ztfr,59194.25223380001,ZTF,14.810202486830528,,18.38759422302246,0.0733100175857544,ab,20.19070053100586
ZTF20actekrw,56.8255986,-8.4517436,ztfg,59195.18739579991,ZTF,8.15839997270059,,19.28319931030273,0.1330820024013519,ab,20.370500564575195
ZTF20actekrw,56.8255711,-8.451775,ztfr,59195.22879630001,ZTF,15.525599477055032,,18.410400390625,0.0699319988489151,ab,19.97830009460449
ZTF20actekrw,56.8255678,-8.4517381,ztfr,59195.259178199805,ZTF,19.75758834662343,,18.450618743896484,0.0549528710544109,ab,20.23148727416992
ZTF20actekrw,56.8256445,-8.4517318,ztfr,59196.27271990013,ZTF,10.393499780716938,,18.44050025939941,0.1044630035758018,ab,19.54509925842285
ZTF20actekrw,56.8255704,-8.45181,ztfg,59196.32270829985,ZTF,5.545836763269889,,19.186199188232425,0.1957750022411346,ab,19.660999298095703
ZTF20actekrw,56.8255512,-8.4517282,ztfr,59197.21444439981,ZTF,7.706816383259997,,18.501245498657227,0.1408799886703491,ab,18.95270347595215
ZTF20actekrw,56.825609,-8.4517329,ztfg,59198.15162040014,ZTF,6.394535617540102,,19.49234390258789,0.1697912514209747,ab,19.94500732421875
ZTF20actekrw,56.8255745,-8.4517787,ztfg,59198.18861109996,ZTF,6.305879185320866,,19.37163734436035,0.1721784025430679,ab,19.87896156311035
ZTF20actekrw,56.8256434,-8.4517405,ztfr,59198.21409719996,ZTF,8.97197577465599,,18.550708770751957,0.1210141703486442,ab,19.59177589416504
