obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF23aaecgwh,240.1555024,19.7144325,ztfr,60032.4229629999,ZTF,8.54629298377744,,19.253023353363133,0.1270417720079421,ab,19.835042785542303
ZTF23aaecgwh,240.1555146,19.7144728,ztfg,60042.39456020016,ZTF,6.260912678587033,,19.194700583258417,0.1734150052070617,ab,19.438869689143477
ZTF23aaecgwh,240.1554841,19.7144938,ztfr,60042.43752310006,ZTF,8.681861579385101,,18.64510016452377,0.1250579953193664,ab,19.24420729697382
ZTF23aaecgwh,,,sdssr,60043.4005012,SEDM,18.288258282813317,SEDM_FPIPE_SDSS,18.576186248888213,0.0593679391425955,ab,19.984192104502803
ZTF23aaecgwh,240.1554918,19.7144749,ztfr,60044.39803239983,ZTF,14.596464757897984,,18.640405648210105,0.0743835046887397,ab,19.80359984497325
ZTF23aaecgwh,240.1554645,19.714491,ztfg,60044.46094910009,ZTF,5.380951949821478,,19.5844997616438,0.2017740011215209,ab,19.664222535686505
ZTF23aaecgwh,240.1554678,19.7144997,ztfr,60045.41407410009,ZTF,11.752818890024454,,18.62338074040329,0.0923809185624122,ab,19.55131083896702
ZTF23aaecgwh,240.1555653,19.7144952,ztfg,60046.31057870016,ZTF,6.20943084134273,,19.67396567588897,0.1748527735471725,ab,19.90917015108126
ZTF23aaecgwh,240.1555342,19.71445,ztfr,60046.37495370023,ZTF,5.29406382090361,,19.06014489514841,0.2050855904817581,ab,19.12219281554829
ZTF23aaecgwh,240.1554801,19.7145528,ztfg,60049.4757869998,ZTF,8.46151142084359,,19.59749267960073,0.1283146888017654,ab,20.16868753117636
ZTF23aaecgwh,240.1554961,19.714441,ztfr,60050.44096060004,ZTF,11.984910869217169,,18.857078673441347,0.0905919298529625,ab,19.80624068402588
ZTF23aaecgwh,240.1555698,19.7144068,ztfg,60050.46359949978,ZTF,6.229587782034004,,20.157200223009152,0.1742870062589645,ab,20.395923486958708
ZTF23aaecgwh,240.1554874,19.7144668,ztfr,60052.450057900045,ZTF,11.480425426731662,,18.98251366198538,0.0945728197693824,ab,19.88498360585132
ZTF23aaecgwh,240.1554703,19.7145208,ztfr,60055.37511570007,ZTF,9.127285053052477,,18.857700399040013,0.1189550012350082,ab,19.51112942354104
ZTF23aaecgwh,240.1554972,19.7144506,ztfr,60055.39112270018,ZTF,10.298079693011598,,19.098383379596378,0.1054309383034706,ab,19.88284898962587
ZTF23aaecgwh,240.1555906,19.7144464,ztfg,60055.44195599994,ZTF,5.687996876861511,,20.29960078845876,0.190881997346878,ab,20.43957415077224
ZTF23aaecgwh,240.1556699,19.7144289,ztfg,60057.33969909977,ZTF,4.86460582401135,,20.365900279947173,0.2231909930706024,ab,20.33609440765185
ZTF23aaecgwh,240.1554742,19.7144982,ztfr,60057.35394679988,ZTF,9.152704279217083,,19.00814279502801,0.11862463504076,ab,19.66459136088989
ZTF23aaecgwh,240.1554963,19.7144993,ztfr,60057.4208217999,ZTF,4.646033320520273,,19.031299788427283,0.2336910068988799,ab,18.951580577981638
ZTF23aaecgwh,240.1554376,19.7145061,ztfr,60058.40259259986,ZTF,7.706323239660517,,18.870300775258947,0.1408890038728714,ab,19.339993817980265
ZTF23aaecgwh,240.1559231,19.714505,ztfg,60059.37011570018,ZTF,4.172843148624096,,20.52580102494856,0.2601909935474396,ab,20.32945616533945
ZTF23aaecgwh,240.155514,19.7144734,ztfr,60059.44356480008,ZTF,11.527942712410644,,19.101700041677308,0.0941829979419708,ab,20.00865455484859
ZTF23aaecgwh,240.155419,19.7145586,ztfg,60060.41190969991,ZTF,6.36903766308201,,20.25810074078462,0.1704709976911544,ab,20.520860272640878
ZTF23aaecgwh,240.1554473,19.7144873,ztfr,60061.32978009991,ZTF,8.674508531581269,,19.095600399122155,0.1251640021800994,ab,19.69378758452768
ZTF23aaecgwh,240.1553935,19.7145684,ztfg,60061.3506018999,ZTF,5.654965110553958,,20.083502065946035,0.1919969767332076,ab,20.21715187961218
ZTF23aaecgwh,240.155543,19.7144705,ztfr,60061.44290510006,ZTF,10.349807148831204,,19.268801109517856,0.1049040034413337,ab,20.05870674248896
ZTF23aaecgwh,240.1554424,19.7145001,ztfr,60062.32442130009,ZTF,8.322184547473125,,19.043226694266945,0.130462884902954,ab,19.596395038931924
ZTF23aaecgwh,240.1554301,19.7145539,ztfr,60063.31940970011,ZTF,8.3535838975846,,19.27221702991039,0.1299725025892257,ab,19.829474115867736
ZTF23aaecgwh,240.1555387,19.7144525,ztfr,60063.4009953998,ZTF,10.681648893487004,,19.292299543526173,0.1016450002789497,ab,20.11647027913384
ZTF23aaecgwh,240.1557746,19.71444,ztfg,60063.43577549979,ZTF,4.743152988987065,,20.53210094797345,0.2289060056209564,ab,20.47484376942581
