obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF24abqbyxd,42.905862,-16.6614209,ztfr,60615.3565508998,ZTF,7.549803905141177,,19.620949201806145,0.1438098549842834,ab,20.06836337003208
ZTF24abqbyxd,42.9058382,-16.6613028,ztfr,60622.40131939994,ZTF,7.998704981945845,,19.04700112541361,0.1357389986515045,ab,19.557125311828035
ZTF24abqbyxd,42.9058707,-16.6613266,ztfg,60623.27873839997,ZTF,6.4538033432297786,,19.688499697347485,0.1682319939136504,ab,19.96561400572063
ZTF24abqbyxd,42.9058377,-16.6613924,ztfr,60623.31849539978,ZTF,8.629230726457466,,19.12512435104818,0.1258207410573959,ab,19.717629543243017
ZTF24abqbyxd,42.9060254,-16.661314,ztfg,60624.33557870006,ZTF,3.765589538545178,,19.81660109516464,0.288331001996994,ab,19.508758531213388
ZTF24abqbyxd,42.905829,-16.6613715,ztfr,60628.30237270007,ZTF,10.012445495656872,,18.811502613744803,0.1084386631846427,ab,19.565428015273472
ZTF24abqbyxd,42.9058079,-16.6613914,ztfr,60631.31593749998,ZTF,6.95642724550769,,18.81480048855908,0.1560766994953155,ab,19.173341096162265
ZTF24abqbyxd,42.9058293,-16.6614039,ztfr,60636.36810189998,ZTF,7.823007661363483,,19.05560714723732,0.138787567615509,ab,19.541616525314858
ZTF24abqbyxd,42.9058476,-16.6613855,ztfr,60640.25456020003,ZTF,11.500833340368832,,18.98710089835736,0.0944050028920173,ab,19.891499162751646
ZTF24abqbyxd,42.9058409,-16.6614105,ztfr,60644.29575229995,ZTF,9.42528431945452,,19.03410004460796,0.1151940003037452,ab,19.722411183351824
ZTF24abqbyxd,42.9058393,-16.6614113,ztfr,60646.16305560013,ZTF,23.781854024420262,,19.23530624788748,0.0456539765000343,ab,20.92849550964099
ZTF24abqbyxd,42.9059895,-16.6613977,ztfr,60647.37068289984,ZTF,4.965294793434907,,19.00910032674201,0.2186650037765503,ab,19.001537910901654
ZTF24abqbyxd,42.9057676,-16.661434,ztfr,60652.15384260006,ZTF,7.636137076908041,,19.26837759255428,0.1421839594841003,ab,19.728136871330776
