obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF24abzgggz,170.4472842,46.1285031,ztfr,60667.43245369988,ZTF,3.899802592309587,,19.78459970254182,0.2784079909324646,ab,19.514781250780523
ZTF24abzgggz,170.4473235,46.1284498,ztfr,60667.554004599806,ZTF,5.055556343805438,,19.592958849362024,0.2147609740495681,ab,19.60495622585177
ZTF24abzgggz,170.4475329,46.1284398,ztfg,60668.413611100055,ZTF,5.427053042056526,,20.317199938518083,0.2000599950551986,ab,20.40618509327215
ZTF24abzgggz,170.4473817,46.1284959,ztfg,60673.42653940013,ZTF,10.145658582700785,,19.56692533729252,0.1070148572325706,ab,20.335200935297145
ZTF24abzgggz,170.4473874,46.1284479,ztfg,60673.44619210018,ZTF,7.462514688691431,,19.593099760134827,0.1454920023679733,ab,20.02788774672757
ZTF24abzgggz,170.4473409,46.1283619,ztfr,60674.27393520018,ZTF,7.654461795251548,,18.73201984070408,0.1418435722589492,ab,19.19438147924934
ZTF24abzgggz,170.4473106,46.1285003,ztfr,60674.27540510008,ZTF,6.755619997666254,,18.87719943224256,0.1607159972190857,ab,19.203937452913515
ZTF24abzgggz,170.4474204,46.1284426,ztfg,60674.45214120019,ZTF,9.982130920030496,,19.564922604134253,0.1087679788470268,ab,20.315555747119955
ZTF24abzgggz,170.4474195,46.1284332,ztfg,60674.472615700215,ZTF,9.071798106690592,,19.458624240727072,0.1196825802326202,ab,20.10543267091577
ZTF24abzgggz,170.4474061,46.1284042,ztfg,60675.38803240005,ZTF,8.479481587731952,,19.496118881090947,0.1280427575111389,ab,20.069617123985388
ZTF24abzgggz,170.4474362,46.1284328,ztfg,60675.46868060017,ZTF,8.292522580292985,,19.461662580933577,0.1309295445680618,ab,20.010954227003836
ZTF24abzgggz,170.4474232,46.1284574,ztfg,60676.466550900135,ZTF,8.658943365625122,,19.46660085077374,0.1253889948129654,ab,20.062838087738022
ZTF24abzgggz,170.4473885,46.1284429,ztfg,60677.34957179986,ZTF,6.753412788847806,,19.509374904270796,0.160768523812294,ab,19.83575813321316
ZTF24abzgggz,170.4473653,46.1284473,ztfg,60677.53134260001,ZTF,8.934703302953139,,19.56629978438107,0.12151899933815,ab,20.19657511191556
ZTF24abzgggz,170.4473521,46.1284455,ztfg,60678.41083330009,ZTF,3.640221996140952,,19.479900745963,0.2982609868049621,ab,19.135295409052716
ZTF24abzgggz,170.4473481,46.1284942,ztfr,60678.52807869995,ZTF,9.116206311270313,,18.70305849644563,0.1190995648503303,ab,19.355168848736994
ZTF24abzgggz,170.4473966,46.128393,ztfg,60679.423182900064,ZTF,7.081010652926016,,19.64305322035745,0.1533306837081909,ab,20.02086632890581
ZTF24abzgggz,170.4473733,46.1284408,ztfr,60679.45137730008,ZTF,15.240345756243958,,18.67173027898425,0.0712409168481826,ab,19.881792317924397
ZTF24abzgggz,170.4473309,46.1284434,ztfr,60680.365243100096,ZTF,9.672857178889217,,18.949953493584463,0.1122456565499305,ab,19.666415421246786
ZTF24abzgggz,170.4473991,46.1284335,ztfr,60680.403402800206,ZTF,9.03080746020862,,18.72882857461764,0.1202258169651031,ab,19.3707200214648
ZTF24abzgggz,170.4473332,46.1283378,ztfg,60680.44501159992,ZTF,6.024815103040901,,19.77289986469014,0.1802107095718383,ab,19.97533416206644
ZTF24abzgggz,170.4473586,46.1284256,ztfg,60681.39321759995,ZTF,5.186677129709238,,19.80699763130745,0.2093317508697509,ab,19.84679565555165
ZTF24abzgggz,170.4474046,46.1284673,ztfg,60681.41265049996,ZTF,7.49016072088393,,19.87980115193818,0.1449549943208694,ab,20.31860398289157
ZTF24abzgggz,170.4474436,46.1284198,ztfg,60682.41233799979,ZTF,4.8511946771726615,,19.899000320172416,0.223808005452156,ab,19.8661970670815
ZTF24abzgggz,170.4473128,46.1284506,ztfr,60684.28379630018,ZTF,5.930661467654349,,19.0173457450242,0.1830716878175735,ab,19.20267857034836
ZTF24abzgggz,170.4473243,46.1284434,ztfr,60684.36546299979,ZTF,6.23979128552372,,18.878900582761723,0.174002006649971,ab,19.11940072999741
ZTF24abzgggz,170.4473764,46.1284393,ztfg,60684.45644679992,ZTF,4.301188677568388,,20.23200082347456,0.2524270117282867,ab,20.068547047379163
ZTF24abzgggz,170.4473301,46.1284581,ztfr,60686.41006939998,ZTF,6.758689945307104,,19.3323998592731,0.160642996430397,ab,19.6596311575693
ZTF24abzgggz,170.4472871,46.1284631,ztfr,60686.45716439979,ZTF,6.744499092031683,,19.19599937797754,0.160980999469757,ab,19.520948618486177
ZTF24abzgggz,170.4476562,46.1284723,ztfr,60687.32373839989,ZTF,3.856418910564425,,19.319401205884127,0.2815400063991546,ab,19.037436704610244
ZTF24abzgggz,170.4474267,46.1283661,ztfr,60687.374884299934,ZTF,4.485586339282499,,19.256201186455343,0.2420500069856643,ab,19.13832422676966
ZTF24abzgggz,170.4473179,46.1284203,ztfr,60688.36765050003,ZTF,6.105313710168479,,19.1859762524261,0.1778346300125121,ab,19.402821202253392
ZTF24abzgggz,170.4474912,46.1285158,ztfr,60690.405567099806,ZTF,4.576434633993344,,19.511200358288374,0.2372449934482574,ab,19.41509350654648
ZTF24abzgggz,170.4473602,46.1285093,ztfr,60694.28488430008,ZTF,5.011410661526592,,19.62615799463872,0.2166528105735778,ab,19.628632965274367
