obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF25abixhdc,320.7354955,-10.0132644,ztfg,60903.235671299975,ZTF,7.088994673610528,,19.730101068860023,0.1531579941511153,ab,20.109137683121237
ZTF25abixhdc,,,ztfr,60903.29287040001,ZTF,15.16492316211914,fp,19.814451858858533,0.071595232837725,ab,20.5591
ZTF25abixhdc,,,ztfr,60903.30809029983,ZTF,14.58984858187839,fp,19.91726234771739,0.0744172359750662,ab,20.6329
ZTF25abixhdc,320.7354932,-10.0132737,ztfg,60904.31054400001,ZTF,7.447618388601089,,19.609400168287337,0.1457830071449279,ab,20.04201869634845
ZTF25abixhdc,,,ztfr,60904.31535879988,ZTF,14.073455818722994,fp,19.75123866640393,0.0771478035489827,ab,20.4761
ZTF25abixhdc,320.7354746,-10.0132731,ztfg,60905.301411999855,ZTF,10.3823686106225,,19.49930024220696,0.1045750007033348,ab,20.2926163408644
ZTF25abixhdc,,,ztfr,60905.3364467998,ZTF,16.116739190863672,fp,19.69907415868466,0.0673669898048369,ab,20.5731
ZTF25abixhdc,320.7354803,-10.0132603,ztfg,60905.392222200055,ZTF,8.276185029482402,,19.57270072272064,0.1311880052089691,ab,20.11985119078488
ZTF25abixhdc,320.7354595,-10.0133059,ztfg,60909.31414349983,ZTF,9.044711590942626,,19.1566012401748,0.1200409978628158,ab,19.800163036965262
ZTF25abixhdc,320.7354612,-10.013299,ztfg,60909.31510420004,ZTF,10.3914594039721,,19.140499361827917,0.1044835150241851,ab,19.934765714246264
ZTF25abixhdc,,,ztfr,60910.273831000086,ZTF,21.757083126305897,fp,19.10948924413664,0.0499026546185042,ab,20.3664
ZTF25abixhdc,320.7354597,-10.0132869,ztfg,60911.25353009999,ZTF,13.330145741963488,,18.92893236538055,0.0814496874809265,ab,19.99359459877742
ZTF25abixhdc,320.735489,-10.013266,ztfg,60911.2802546001,ZTF,13.421278400648209,,18.94427135465366,0.0808966308832168,ab,20.01633105662711
ZTF25abixhdc,,,ztfr,60911.29657409992,ZTF,26.34265041780196,fp,18.999782049209685,0.0412159060511392,ab,20.4847
ZTF25abixhdc,,,ztfr,60913.25280090002,ZTF,23.66550779173252,fp,18.99338490413635,0.0458784241738277,ab,20.4168
ZTF25abixhdc,,,ztfr,60913.28700229991,ZTF,28.35301213410029,fp,18.90592034607368,0.0382935047473248,ab,20.457
ZTF25abixhdc,320.7354629,-10.0132807,ztfg,60913.29516200023,ZTF,15.978457089534585,,18.836799965767764,0.067950002849102,ab,20.098212056663613
ZTF25abixhdc,320.7354564,-10.013295,ztfg,60913.34002309991,ZTF,13.68218568351182,,18.791400915334705,0.0793540030717849,ab,19.884364604545937
ZTF25abixhdc,,,ztfr,60914.23459490016,ZTF,26.42685172134438,fp,18.869631622202817,0.0410845838243079,ab,20.3154
ZTF25abixhdc,320.7354514,-10.0132937,ztfg,60914.274386600126,ZTF,11.829640455350615,,18.77590012193541,0.0917809978127479,ab,19.710903973799983
ZTF25abixhdc,320.7354604,-10.0132931,ztfr,60916.28068289999,ZTF,15.121673957614384,,18.74350028788301,0.0718000009655952,ab,19.945074951767232
ZTF25abixhdc,320.7354875,-10.0132704,ztfg,60916.31459489977,ZTF,14.468959002790324,,18.722000266273703,0.0750389993190765,ab,19.87566847065229
ZTF25abixhdc,320.7354798,-10.0132877,ztfg,60916.315543999895,ZTF,12.901471268348915,,18.64800112386835,0.0841559991240501,ab,19.67717421189476
ZTF25abixhdc,320.7354796,-10.0132855,ztfg,60917.27326390008,ZTF,13.726641555090128,,18.606899540113123,0.0790970027446746,ab,19.70338526193033
ZTF25abixhdc,320.7354482,-10.0133321,ztfr,60917.33599539986,ZTF,18.964824359556417,,18.75700009072072,0.0572500005364418,ab,20.20444714210876
ZTF25abixhdc,320.7354576,-10.0132892,ztfr,60918.23465280002,ZTF,14.60206069204466,,18.7143005399509,0.0743549987673759,ab,19.87791090213906
ZTF25abixhdc,320.735462,-10.0132733,ztfg,60918.29509259993,ZTF,13.8667759016474,,18.639875804847847,0.0782976672053337,ab,19.747389536653355
ZTF25abixhdc,320.7354588,-10.0133096,ztfr,60918.3452198999,ZTF,13.32764040706784,,18.68890003927292,0.0814649984240531,ab,19.75335819474719
ZTF25abixhdc,320.7354475,-10.0132915,ztfr,60919.25452549989,ZTF,14.667764457265603,,18.69092182176753,0.074021928012371,ab,19.859406628961565
ZTF25abixhdc,320.7354643,-10.0132916,ztfg,60919.29716440011,ZTF,17.712713744888738,,18.527200987147964,0.0612969994544982,ab,19.90048873644609
