obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF25abkwytp,,,ztfr,60914.2035416998,ZTF,104.07196410900562,fp,16.9608047955143,0.0104325522637482,ab,20.4634
ZTF25abkwytp,259.9869726,24.9316254,ztfg,60917.16634259978,ZTF,24.818529154541924,,17.20890059102929,0.0437470003962516,ab,18.94841567992578
ZTF25abkwytp,259.9869599,24.9316192,ztfr,60917.19936340023,ZTF,20.83666740542557,,16.93810122059434,0.052106998860836,ab,18.48774685870665
ZTF25abkwytp,259.9869658,24.9316265,ztfg,60919.18083330011,ZTF,21.919452503465244,,17.239400879595657,0.0495329983532428,ab,18.84405012448017
ZTF25abkwytp,259.9869668,24.9316322,ztfr,60919.203796300106,ZTF,25.88359598831991,,16.912710228822572,0.0419468842446804,ab,18.69784674895903
ZTF25abkwytp,259.9869896,24.9316282,ztfr,60920.22234949982,ZTF,41.0532841341972,,16.94009969638489,0.0264469999819993,ab,19.226044448154816
ZTF25abkwytp,259.9869804,24.9316134,ztfg,60920.24671299989,ZTF,15.670353991272451,,17.239099854324316,0.0692860037088394,ab,18.47937186157339
ZTF25abkwytp,259.9869791,24.9316209,ztfr,60921.15898150019,ZTF,24.04749175706025,,16.876959352892243,0.04514966532588,ab,18.58220880340313
ZTF25abkwytp,259.9869595,24.9316363,ztfg,60921.179861099925,ZTF,23.564164501663384,,17.287939310767293,0.0460757352411747,ab,18.97114441464868
ZTF25abkwytp,259.9869866,24.9316206,ztfr,60922.19325229991,ZTF,24.759742075692134,,16.885943002019694,0.0438508689403533,ab,18.622883281903736
ZTF25abkwytp,259.9869701,24.9316408,ztfg,60922.24458329985,ZTF,16.105500261155914,,17.374500798133454,0.0674140006303787,ab,18.64451133531234
ZTF25abkwytp,259.9869721,24.9316345,ztfg,60923.163611100055,ZTF,24.626010755674635,,17.364500308545338,0.0440890006721019,ab,19.09556045975159
ZTF25abkwytp,259.9869935,24.9316202,ztfr,60923.24620370008,ZTF,22.00715398168962,,16.896066817642804,0.0493356026709079,ab,18.505051512235877
ZTF25abkwytp,259.9869539,24.9316357,ztfr,60925.1870255,ZTF,29.077027232326603,,16.87789935161119,0.0373400002717971,ab,18.78934934876688
