obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF25abmsmeg,349.7699928,-8.4776367,ztfr,60917.35787039995,ZTF,21.898672797338183,,17.709400191581782,0.0495800003409385,ab,19.313019667127563
ZTF25abmsmeg,,,sdssr,60919.240715600085,SEDM,28.851377299885847,SEDM_FPIPE_SDSS,16.95019726354173,0.0376320406985362,ab,18.8531886282736
ZTF25abmsmeg,,,sdssg,60919.27687160019,SEDM,23.54993263541551,SEDM_FPIPE_SDSS,17.604020668044136,0.0461035800639763,ab,19.286569830122303
ZTF25abmsmeg,,,sdssr,60919.27956259996,SEDM,62.65374145421315,SEDM_FPIPE_SDSS,16.91090999839691,0.0173291519318375,ab,19.65585251404676
ZTF25abmsmeg,349.7699833,-8.4776431,ztfg,60919.31472219992,ZTF,18.990033719431832,,17.56200033456352,0.0571740008890628,ab,19.010889663442555
ZTF25abmsmeg,349.7699808,-8.4776338,ztfr,60919.336631900165,ZTF,34.50396505066829,,16.876199965954818,0.0314669981598854,ab,18.97344746820951
ZTF25abmsmeg,349.7699812,-8.477654,ztfg,60921.283703700174,ZTF,23.289064804305823,,17.100000559221577,0.0466200001537799,ab,18.77045567177018
ZTF25abmsmeg,349.7699784,-8.4776333,ztfr,60923.33565969998,ZTF,33.83831608657101,,16.163900657991736,0.0320859998464584,ab,18.239997504367444
ZTF25abmsmeg,349.769964,-8.4776346,ztfg,60923.39806709997,ZTF,27.39682606954588,,16.77179943508097,0.0396299995481967,ab,18.61862505571486
ZTF25abmsmeg,349.7699828,-8.4776436,ztfr,60927.31203699997,ZTF,36.74234299586566,,15.902700588433095,0.0295499991625547,ab,18.068192695251
ZTF25abmsmeg,349.7699651,-8.4776424,ztfg,60927.33459489979,ZTF,26.71331985736749,,16.7625011689842,0.0406440012156963,ab,18.581895818869665
ZTF25abmsmeg,349.7699933,-8.4776455,ztfg,60929.3034144002,ZTF,22.956340372195672,,16.731479921645303,0.0472957007586956,ab,18.386311549253413
ZTF25abmsmeg,349.7699852,-8.4776312,ztfr,60929.35729169985,ZTF,34.84637865835541,,15.84403943514804,0.0311577916145324,ab,17.952008553247303
ZTF25abmsmeg,,,sdssr,60932.27329399996,SEDM,51.03250028775847,SEDM_FPIPE_SDSS,15.90645673463994,0.021275387226492,ab,18.428648840523863
ZTF25abmsmeg,,,sdssg,60932.30284419982,SEDM,35.76235484219572,SEDM_FPIPE_SDSS,16.9457790839859,0.030359751463488,ab,19.081919343233235
ZTF25abmsmeg,,,sdssr,60932.3044884,SEDM,85.1359709230506,SEDM_FPIPE_SDSS,15.889709418466548,0.0127529667305898,ab,18.967567140760814
ZTF25abmsmeg,349.7699985,-8.4776543,ztfr,60933.21071759984,ZTF,28.550966492760807,,15.890800485284842,0.0380280017852783,ab,17.782427510309994
ZTF25abmsmeg,349.7699827,-8.4776534,ztfg,60933.27239579987,ZTF,22.86964145482401,,17.01169979547376,0.0474749989807605,ab,18.66242317435215
