obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF25abvbjre,,,ztfr,60949.29990739981,ZTF,4.460389495943459,fp,20.744654046337,0.2434173530687313,ab,20.3803
ZTF25abvbjre,,,ztfr,60949.319340299815,ZTF,6.385894197772049,fp,20.618457063500838,0.1700210136799522,ab,20.4814
ZTF25abvbjre,,,ztfg,60950.39026620006,ZTF,6.318131004126735,fp,20.591023657973984,0.1718445223831181,ab,20.7132
ZTF25abvbjre,,,ztfr,60950.40055559995,ZTF,9.373128372015742,fp,20.021994590300302,0.1158349871745793,ab,20.5278
ZTF25abvbjre,28.2255962,36.0553608,ztfg,60951.40708329994,ZTF,7.054770495522803,,19.971901370566314,0.153900995850563,ab,20.345683584559108
ZTF25abvbjre,28.2254755,36.0554093,ztfr,60951.450358800124,ZTF,9.312908950485756,,19.35460140207369,0.1165840029716491,ab,20.029889783756
ZTF25abvbjre,28.2254199,36.0554197,ztfr,60951.47931709979,ZTF,11.577605133914767,,19.288000316670377,0.0937789976596832,ab,20.19962213939307
ZTF25abvbjre,28.2257693,36.0553128,ztfg,60952.30776620004,ZTF,4.007072094607043,,19.812099803813062,0.2709549963474273,ab,19.57174268362449
ZTF25abvbjre,28.2254368,36.0553706,ztfg,60952.32750000013,ZTF,5.893505575704575,,19.69108031999652,0.1842258721590041,ab,19.86958955601471
ZTF25abvbjre,28.2253771,36.0549793,ztfr,60952.34519679984,ZTF,6.797747184153556,,18.998199803433245,0.1597200036048889,ab,19.33168731421376
ZTF25abvbjre,28.2254881,36.0554053,ztfr,60952.3556597,ZTF,10.44300967908342,,18.986198705121737,0.1039677485823631,ab,19.785837895604544
ZTF25abvbjre,,,sdssr,60953.172326399945,SEDM,16.568975824820328,SEDM_FPIPE_PS1,18.77267896129559,0.0655282629558609,ab,20.07349311115752
ZTF25abvbjre,,,sdssg,60953.204452400096,SEDM,13.084977303561123,SEDM_FPIPE_PS1,19.47226935099227,0.0829757805130194,ab,20.51677677433888
ZTF25abvbjre,,,sdssr,60953.20714200009,SEDM,23.05454882570745,SEDM_FPIPE_PS1,18.895237133873472,0.0470942291244258,ab,20.554703691924388
