obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF26aaakmmc,114.8417432,30.9933728,ztfg,61054.22042819997,ZTF,9.312669700782944,,19.09380006237497,0.1165869981050491,ab,19.76906055101093
ZTF26aaakmmc,114.841671,30.9933929,ztfg,61054.25696759997,ZTF,9.3610246954306,,19.164261067017392,0.1159847602248192,ab,19.845144533581752
ZTF26aaakmmc,114.8417046,30.9933293,ztfg,61055.22415510006,ZTF,9.834420508684786,,19.089399712181574,0.1104016453027725,ab,19.823846637070115
ZTF26aaakmmc,114.8417461,30.9933513,ztfg,61056.21559030004,ZTF,12.226254612581508,,18.96894495305372,0.0888036638498306,ab,19.93975353161361
ZTF26aaakmmc,114.8417761,30.9934141,ztfr,61056.23688660003,ZTF,9.969113824906016,,19.174999488536237,0.1089100018143653,ab,19.924215864433613
ZTF26aaakmmc,114.8417936,30.9933794,ztfr,61056.25570600014,ZTF,10.474962322133536,,19.171697928292563,0.1036506071686744,ab,19.97465409122164
ZTF26aaakmmc,114.8417787,30.9934045,ztfg,61056.35359949991,ZTF,11.41162492089618,,18.915899497963803,0.0951429978013038,ab,19.81184320902246
ZTF26aaakmmc,114.841658,30.9933691,ztfg,61057.26443290012,ZTF,7.46531079606693,,18.77550733001853,0.1454375088214874,ab,19.21070205167776
ZTF26aaakmmc,114.8417125,30.9933726,ztfg,61058.220567100216,ZTF,12.106781790374072,,18.68090105301117,0.0896800011396408,ab,19.64104782933789
ZTF26aaakmmc,,,sdssr,61058.24836250022,SEDM,20.12650400637356,SEDM_FPIPE_SDSS,19.000889268225517,0.0539455935523777,ab,20.512885117533408
ZTF26aaakmmc,114.8417522,30.9933697,ztfg,61058.25381939998,ZTF,12.81830658634939,,18.742399364120068,0.0847020000219345,ab,19.764550990187672
ZTF26aaakmmc,114.841758,30.9933969,ztfr,61058.28388890019,ZTF,9.751800551533083,,18.96990040909959,0.1113369986414909,ab,19.695187424018748
ZTF26aaakmmc,,,sdssr,61059.25543919997,SEDM,32.66495504417161,SEDM_FPIPE_SDSS,18.891252113863658,0.033238564182621,ab,20.92903226507203
ZTF26aaakmmc,114.8417519,30.9933871,ztfg,61059.34218750009,ZTF,18.042445898677435,,18.701410414707983,0.0601767748594284,ab,20.09472393315424
ZTF26aaakmmc,114.8417602,30.9933692,ztfr,61060.21702549979,ZTF,14.060163549389,,18.88429658397172,0.0772207379341125,ab,20.006847504319147
ZTF26aaakmmc,114.8418207,30.9933411,ztfr,61060.31854170002,ZTF,13.366855712943131,,18.901899578540096,0.081225998699665,ab,19.96954771803254
ZTF26aaakmmc,114.841776,30.9933799,ztfg,61060.33754630014,ZTF,12.582430900694447,,18.65360092875148,0.0862898603081703,ab,19.65558730303132
ZTF26aaakmmc,114.8417753,30.9933823,ztfr,61061.30932869995,ZTF,10.873890121845651,,18.855700057316263,0.0998480021953582,ab,19.69923739708168
ZTF26aaakmmc,114.8417511,30.9933595,ztfg,61065.25344910007,ZTF,14.891662777648454,,18.59480095066945,0.0729089975357055,ab,19.779733922430072
ZTF26aaakmmc,114.841751,30.9933654,ztfr,61065.33538189996,ZTF,12.282778560430907,,18.64410054053283,0.0883949995040893,ab,19.619917085338304
ZTF26aaakmmc,,,sdssg,61067.036673,IOO,21.91153638146255,LT_IOO_PIPE,18.49588228535968,0.0495508934588756,ab,20.850984590624197
ZTF26aaakmmc,,,sdssr,61067.037638,IOO,22.004561743396817,LT_IOO_PIPE,18.647449567801083,0.0493414146311702,ab,21.112307989772663
ZTF26aaakmmc,114.8417663,30.9934,ztfg,61068.2273380002,ZTF,15.409913248743775,,18.51230099594219,0.0704569965600967,ab,19.734376469682434
ZTF26aaakmmc,114.8417791,30.9933585,ztfr,61068.35270830011,ZTF,14.528786090772147,,18.59480095066945,0.0747300013899803,ab,19.752949263925693
ZTF26aaakmmc,114.8417908,30.9933646,ztfg,61070.30822920008,ZTF,9.537471344070552,,18.434400673804205,0.1138390004634856,ab,19.13555877821404
ZTF26aaakmmc,114.8417775,30.9933617,ztfr,61073.26096059987,ZTF,8.855273527749578,,18.667101384305,0.1226089969277381,ab,19.28768132476116
ZTF26aaakmmc,114.8417708,30.9933701,ztfg,61073.30583330011,ZTF,8.691174106421384,,18.478201134520205,0.1249239966273307,ab,19.07847224877657
ZTF26aaakmmc,114.8417332,30.9933778,ztfg,61075.15445599984,ZTF,14.414286247996754,,18.47176388084992,0.0753236189484596,ab,19.621321725767555
ZTF26aaakmmc,114.8417915,30.9933634,ztfr,61075.28791669989,ZTF,10.969802216917762,,18.672500985479523,0.0989750027656555,ab,19.52557296817161
ZTF26aaakmmc,114.8417267,30.9933843,ztfr,61077.3213657001,ZTF,14.031816669280506,,18.64414648158212,0.0773767381906509,ab,19.76450622535657
ZTF26aaakmmc,114.841767,30.9933656,ztfg,61079.268044000026,ZTF,16.884953007180947,,18.582800191937576,0.064301997423172,ab,19.904124821798177
ZTF26aaakmmc,114.8417902,30.9934003,ztfr,61079.32145830011,ZTF,15.06195026586222,,18.678480509003563,0.0720847025513648,ab,19.87575852126222
ZTF26aaakmmc,114.8417436,30.9933673,ztfr,61080.21446759999,ZTF,15.996114019625288,,18.68470026077492,0.0678749978542327,ab,19.947311477697983
ZTF26aaakmmc,114.841776,30.9933794,ztfr,61080.2215741002,ZTF,14.293590961841293,,18.696762461211996,0.0759596526622772,ab,19.83719082483292
ZTF26aaakmmc,114.8417814,30.9933763,ztfg,61080.259062500205,ZTF,14.607953782441744,,18.571600477739032,0.0743250027298927,ab,19.735648932259835
ZTF26aaakmmc,,,sdssg,61080.967363,IOO,20.96350907495304,LT_IOO_PIPE,18.608095014701668,0.0517917205977387,ab,21.04825483108051
ZTF26aaakmmc,,,sdssr,61080.968296,IOO,23.82662749797717,LT_IOO_PIPE,18.78252191504243,0.0455681864691218,ab,21.338895654429923
ZTF26aaakmmc,114.8418047,30.993349,ztfr,61085.2074190001,ZTF,12.060406425426526,,18.831384891082717,0.0900248438119888,ab,19.78736473875505
ZTF26aaakmmc,114.8417853,30.9933839,ztfg,61085.24716439983,ZTF,18.16534913982832,,18.762024172873947,0.0597696304321289,ab,20.162708535689788
ZTF26aaakmmc,114.8417937,30.9933628,ztfg,61086.22620370006,ZTF,9.963352283237858,,18.9188598168129,0.1089729815721511,ab,19.66744852180146
ZTF26aaakmmc,114.8417694,30.9933992,ztfr,61086.276157400105,ZTF,4.924040773172616,,18.952801100995508,0.2204969972372054,ab,18.93618019120301
ZTF26aaakmmc,114.8417505,30.9933863,ztfg,61087.26209490001,ZTF,7.075781098975588,,19.03350102738832,0.1534440070390701,ab,19.410511988611717
